甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
体育用品商店0.8处理一种篮球，现价是120元．篮球的原价=多少元？	120/0.8=150.0	{体育用品商店, 0.8, 处理, 篮球, 现价, 120元, 原价}
谷子的出米率大约是70%，要出米840千克，需要多少千克的谷子？	840/70%=1200.0	{谷子, 出米率, 70%, 出米, 840千克, 千克}
小华今年9月1日把积攒的500元压岁钱存入银行，定期3年，年利率3.69%，准备到期时把钱全部取出捐给希望工程，到时她可捐款多少钱？	500+500*3.69%*3=555.35	{小华, 9月1日, 积攒, 500元, 压岁钱, 存入, 银行, 定期, 3年, 年利率, 3.69%, 到期, 取出, 捐给, 希望工程, 捐款}
火车每小时行180千米，相当于一种飞机飞行速度的(1/45)，这种飞机每小时飞行多少千米？	180/(1/45)=8100.0	{火车, 每小时, 180千米, 相当于, 飞机, 飞行速度, 1/45, 多少千米}
一个数的(5/8)是40，这个数的(1/4)=．	40/(5/8)*(1/4)=16.0	{数的, 5/8, 是, 40, 这个数, 1/4}
甲、乙、丙、丁、戊5人拿出同样多的钱，合伙订购同样规格的若干件货物，货物买来后，甲、乙、丙、丁分别比戊多拿了7、8、10、15件货物，最后结算时，丙付给戊24元，那么丁应付给戊多少元．	24/10*15=36.0	{甲、乙、丙、丁、戊、钱、合伙、订购、货物、拿、多、结算、付、元}
今年在我国某一个湖区越冬的白天鹅有171只，是白鹤的9倍，白鹤有几只？	171/9=19.0	{今年, 我国, 某一个湖区, 越冬, 白天鹅, 171只, 白鹤, 9倍}
果园里有苹果树560棵，梨树比苹果树多(3/8)，两种树共有多少棵？	560*(1+(3/8))+560=1330.0	{果园, 苹果树, 560棵, 梨树, 比, 多, 3/8, 两种树, 共有}
甲数扩大10倍等于乙数，甲、乙的和是22，则甲数=．	22/(1+10)=2.0	{甲数, 扩大, 10倍, 等于, 乙数, 和, 22, 甲数}
商场里的布娃娃，如果有优惠卡可以打0.8，小平用优惠卡买一个布娃娃节约了9.6元．这个布娃娃原价多少元？	9.6/(1-0.8)=48.0	{商场, 布娃娃, 优惠卡, 打0.8, 节约, 9.6元, 原价}
菜场里有茄子6筐，每筐重25千克；还有西红柿5筐，每筐重20千克．菜场里茄子和西红柿共有多少千克？	6*25+5*20=250.0	{菜场, 茄子, 6筐, 25千克, 西红柿, 5筐, 20千克, 共有}
把一颗体积为120立方厘米的玻璃珠子放入底面积为80平方厘米的圆柱形容器中，容器中有足够的水把玻璃珠子淹没，那么容器中的水位上升了多少厘米．	120/80=1.5	{体积, 120, 立方厘米, 玻璃珠子, 底面积, 80, 平方厘米, 圆柱形容器, 水位, 上升}
一根铁丝，用去(4/5)米，正好是它的(1/6)，还剩下多少米？	((4/5)/(1/6))*(1-(1/6))=4.0	{铁丝, 用去, (4/5)米, 正好, (1/6), 剩下}
一根长4米的圆木锯成2段要用3分钟，锯成8段要用多少分钟．	(8-1)*3=21.0	{圆木, 4米, 锯, 2段, 3分钟, 8段}
甲仓存粮120吨，是乙仓存粮的(2/3)，甲、乙两仓一共存粮多少吨？	120/(2/3)+120=300.0	{甲仓, 存粮, 120吨, 乙仓, 2/3, 一共}
某电脑公司计划用9天时间组装电脑630台，实际只用6天就完成了任务，实际每天比计划多组装多少台？	630/6-630/9=35.0	{某电脑公司, 9天, 时间, 组装, 电脑, 630台, 实际, 6天, 完成任务, 每天多组装, 多少台}
马路一边共栽了48棵柳树，每两棵柳树之间栽一棵杨树，共有多少棵杨树．	48-1=47.0	{柳树, 48棵, 杨树, 之间, 共有}
小杨在计算一道小数加法题时，把6.2错看作62来算了，得数为66.5，那么正确的答案应该=．	66.5-62+6.2=10.7	{小杨, 计算, 小数加法题, 6.2, 错看, 62, 得数, 66.5, 正确答案}
王飞出生时重3.65千克，3个月以后他的体重是8千克，他平均每个月长多少千克？	(8-3.65)/3=1.45	{王飞, 出生, 3.65千克, 3个月, 体重, 8千克, 平均, 每个月, 长, 千克}
一个学校修建阳光操场用1.5万元，比计划节省0.5万元，节省百分之几？	0.5/(0.5+1.5)=0.25	{学校, 修建, 阳光操场, 1.5万元, 节省, 0.5万元, 百分之几}
一台拖拉机上午耕地3.95公顷，下午比上午多耕0.8公顷．这台拖拉机全天一共耕地多少公顷？	3.95+0.8+3.95=8.7	{拖拉机, 上午, 耕地, 3.95, 公顷, 下午, 多耕, 0.8, 公顷, 全天, 一共}
若10元钱可以买12个苹果，晓红买了27个这样的苹果，她共花了多少元钱．	10/12*27=22.5	{10元, 买, 12个, 苹果, 晓红, 27个, 花}
游乐场的门票原来每张40元，“6一”期间0.8优惠，购买一张门票省多少元？	40*(1-0.8)=8.0	{游乐场, 门票, 40元, “6一”, 0.8, 优惠, 购买, 省多少元}
停车场上有大汽车26辆，小汽车的数量是大汽车的3倍．停车场上大汽车和小汽车一共有多少辆？	26*3+26=104.0	{停车场, 大汽车, 26辆, 小汽车, 3倍, 一共}
一列火车从北京开往上海．当行了全程的(2/5)时，离北京420千米．北京到上海的距离=多少千米？	420/(2/5)=1050.0	{火车, 北京, 上海, 全程, (2/5), 420千米, 距离}
某电冰箱厂去年计划生产电冰箱4000台，实际生产了4500台，增产了百分之几？	(4500-4000)/4000=0.125	{计划生产, 4000台, 实际生产, 4500台, 增产, 百分之几}
小明有4.2元钱，给小虎0.5元后，还比小虎多3元，则小虎原有多少元．	4.2-0.5-3-0.5=0.2	{小明, 4.2元, 给, 小虎, 0.5元, 还, 比小虎, 多, 3元, 小虎, 原有, 元}
苹果有60筐，比梨的(3/4)多12筐，梨有多少筐？	(60-12)/(3/4)=64.0	{苹果, 60筐, 比梨, 3/4, 多12筐, 梨, 有多少筐}
皮鞋厂去年生产皮鞋27500双，比原计划增产10%，去年原计划生产皮鞋多少双？	27500/(1+10%)=25000.0	{皮鞋厂, 去年, 生产, 皮鞋, 27500双, 比原计划, 增产, 10%, 原计划, 皮鞋多少双}
小辉看一本133页的杂志，第一天看了27页，第二天看了33页，还剩多少页没有看？	133-27-33=73.0	{小辉, 133页, 杂志, 第一天, 27页, 第二天, 33页, 还剩, 没有看}
96连续减去6，减多少次正好得0．	96/6=16.0	{96, 连续减去, 6, 减多少次, 正好, 得0}
某商品原价200元，现在打0.88出售，现在价格=多少元．	200*0.88=176.0	{商品, 原价, 200元, 打, 0.88, 出售, 现在价格}
长方体蓄水池中有水2100立方米，这个蓄水池长50米，宽20米，水深多少米？	2100/(50*20)=2.1	{长方体, 蓄水池, 水, 2100立方米, 长, 50米, 宽, 20米, 水深}
把一根5米长的绳子平均分成3段，每段绳子的长是全长的多少．	1/3=0.3333333333333333	{把, 一根, 5米, 长, 绳子, 平均, 分成, 3段, 每, 段, 绳子, 的, 长, 是, 全长, 的, 多少}
一把椅子68元，一张桌子147元，学校准备购买9套课桌椅，一共需要多少元？	(68+147)*9=1935.0	{一把椅子, 68元, 一张桌子, 147元, 学校, 购买, 9套课桌椅, 多少元}
一批货物共800吨，运走350吨，运走的占这批货物的几分之几？	350/800=0.4375	{货物, 800吨, 运走, 350吨, 占, 几分之几}
一个木工把一根长24米的木条锯成3米长的小段，每锯断一次要用5分钟，锯完共需要多少分钟？	(24/3-1)*5=35.0	{木工, 木条, 锯, 24米, 3米, 小段, 锯断, 5分钟}
1.3与(4/5)的和除以3与(2/3)的差，商=？	(1.3+(4/5))/(3-(2/3))=0.9	{提取, 和, 除以, 商}
赵老师的月工资为4000元，按规定超出3500元的部分按3%的税率缴纳个人所得税．赵老师税后工资为多少元？	4000-(4000-3500)*3%=3985.0	{赵老师, 月工资, 4000元, 超出, 3500元, 部分, 3%, 税率, 个人所得税, 税后工资}
李师傅加工一批零件，上半月完成计划的(5/8)，下半月完成计划的(3/5)．这个月李师傅超额完成计划的几分之几？	(3/5)+(5/8)-1=0.225	{李师傅, 加工, 零件, 上半月, 完成计划, 5/8, 下半月, 3/5, 超额完成, 计划, 几分之几}
一批米，已吃了整批米的(7/10)，已吃的比没吃的多160千克．这批米有多少？	160/((7/10)-(1-(7/10)))=400.0	{一批米，吃了，整批，7/10，比，多，160千克，有}
一筒羽毛球有12只，李老师买来14简，李老师共买了多少只羽毛球？	12*14=168.0	{一筒，羽毛球，12只，李老师，买来，14简，共，多少只}
一批木料，先用去总数的(1/5)，又用去总数的(4/9)，这时用去的比剩下的多13方，这批木料共有多少方？	13/(((1/5)+(4/9))-(1-(1/5)-(4/9)))=45.0	{木料，先用去，总数的，1/5，4/9，用去的，剩下的，多13方，共有，多少方}
图书馆购回一批新书，每层摆60本书，每个书架有4层，共摆满了15个这样的书架．图书馆共购回了多少本新书？	60*(4*15)=3600.0	{图书馆, 购回, 新书, 每层, 60本, 书架, 4层, 15个}
超市运来矿泉水和果汁各5箱，矿泉水每箱24瓶，果汁每箱36瓶，果汁比矿泉水多多少瓶？	36*5-24*5=60.0	{超市, 运来, 矿泉水, 果汁, 5箱, 每箱, 24瓶, 36瓶, 多, 瓶}
化肥厂1、2月份共生产化肥520吨，3月份生产310吨，4月份生产354吨，平均每月生产化肥多少吨？	(520+310+354)/4=296.0	{化肥厂, 1、2月份, 生产, 化肥, 520吨, 3月份, 310吨, 4月份, 354吨, 平均, 每月生产}
某电影院每排座位可以坐38人，5排座位可以坐多少人．	38*5=190.0	{某电影院, 每排座位, 38人, 5排, 座位, 可以坐,多少人}
甲、乙两人同时从相距2000米的两地相向而行，甲每分钟行55米，乙每分钟行45米，如果一只狗与甲同时同向而行，每分钟行120米，遇到乙后，立即回头向甲跑去，遇到甲再向乙跑去．这样不断来回，直到甲和乙相遇为止，狗共行了多少米？	120*(2000/(45+55))=2400.0	{甲, 乙, 相距2000米, 相向而行, 甲每分钟行55米, 乙每分钟行45米, 狗, 同向而行, 每分钟行120米, 来回, 相遇, 狗共行了多少米}
加油站有850升汽油，准备每罐装25升，一共需要多少罐才能装完？	850/25=34.0	{加油站, 850升, 汽油, 每罐, 25升, 罐, 装, 完}
在400米长的环形跑道上，甲、乙两人同时同地同向出发跑步，若甲每分钟跑320米，乙每分钟跑300米，多长时间两人第一次相遇？	400/(320-300)=20.0	{400米, 环形跑道, 甲, 乙, 同时, 同地, 同向, 出发, 跑步, 甲每分钟跑320米, 乙每分钟跑300米, 多长时间, 第一次相遇}
小明每天早上跑步13分钟，他的速度大约是180米/分，他每天大约跑步多少米．	180*13=2340.0	{小明, 每天早上, 跑步, 13分钟, 速度, 180米/分, 每天跑步, 米}
一种小商品的现价是4.8元，比原价降低了20%，这种小商品的原价=多少元？	4.8/(1-20%)=6.0	{小商品，现价，4.8元，降低了，20%，原价}
李宁家有花椒树80棵，平均每棵可以产花椒12千克，今年每千克花椒可以卖9元，可以收入多少元？	9*(12*80)=8640.0	{李宁, 家, 花椒树, 80棵, 平均, 每棵, 产花椒, 12千克, 今年, 每千克, 9元, 收入}
一个数的(2/3)的(1/2)是20，这个数=．	20/((2/3)*(1/2))=60.0	{一个数, (2/3), (1/2), 20}
张师傅以1元4个苹果的价格买进苹果若干个，又以2元5个苹果的价格把这些苹果卖出，如果他要赚得15元的利润，那么他必须卖出苹果多少个．	15/(2/5-1/4)=100.0	{张师傅, 1元, 4个, 苹果, 买进, 价格, 2元, 5个, 卖出, 利润, 15元, 必须, 卖出, 苹果, 多少个}
3台磨粉机4小时磨面粉10.2吨，平均一台磨粉机一小时能磨面粉多少千克？	10.2/3/4=0.85	{磨粉机, 3台, 4小时, 磨面粉, 10.2吨, 平均, 一台, 一小时, 磨面粉, 千克}
半个月前饭堂购入63吨大米，已经用了15天，平均每天用1.4吨，余下的米，如果每天用1.2吨，还可以用多少天？	(63-1.4*15)/1.2=35.0	{半个月前, 饭堂, 购入, 63吨, 大米, 已经, 15天, 平均, 每天, 1.4吨, 余下, 如果, 每天, 1.2吨, 还可以, 用, 多少天}
初3年级参加数、理、化小组的人数比是6：5：4．3个组共有135人，问参加物理小组有多少人．	135*((5)/(6+5+4))=45.0	{初3年级, 数, 理, 化, 小组, 人数比, 6:5:4, 135人, 物理, 小组}
4辆汽车3次运水泥960袋，平均每辆汽车每次运水泥多少袋？	960/3/4=80.0	{汽车, 运, 水泥, 4辆, 3次, 960袋, 平均, 每辆, 每次, 多少袋}
爸爸重75千克，小明重30千克，两人一共重多少千克？	75+30=105.0	{爸爸, 75千克, 小明, 30千克, 两人, 一共, 重}
300千克的面粉吃了30%后，又吃了余下的70%，还剩下多少千克？	300*(1-30%)*(1-70%)=63.0	{300千克, 面粉, 吃了, 30%, 余下, 70%, 剩下, 多少千克}
在除法算式642/6中，如果要使商增加5，被除数应该增加多少．	5*6=30.0	{除法算式, 642/6, 商, 增加5, 被除数, 增加}
一节课的时间是(2/3)小时，有一节科学课老师讲解用了(1/5)小时，小组讨论用了(3/10)小时，其余时间学生做实验，学生做实验用了多长时间？	(2/3)-(1/5)-(3/10)=0.16666666666666666	{一节课，时间，2/3小时，科学课，老师，讲解，1/5小时，小组讨论，3/10小时，学生，做实验}
有一群兔子，其中白兔60只，比黑兔多20%，黑兔有多少只？	60/(1+20%)=50.0	{兔子, 白兔, 60只, 比黑兔, 多20%, 黑兔}
刘叔叔从A地到B地平均每小时行驶58.5千米，2小时到达，返回时用2.5小时，求返回时的速度？	58.5*2/2.5=46.8	{刘叔叔，A地，B地，平均，每小时，行驶，58.5千米，2小时，到达，返回，2.5小时，速度}
吝啬鬼总喜欢把一条面包分成很多段吃，把一条面包分成5段用20秒，那么分成4段要用多少秒．	20/(5-1)*(4-1)=15.0	{吝啬鬼, 面包, 分成, 5段, 20秒, 4段}
王老师2008年2月26日把4500元钱存入银行，整存整取一年，年利率是2.25%．准备到期后把利息捐赠给“希望工程”．到期时王老师可以捐赠多少元．	4500*2.25%*1=101.25	{王老师, 2008年, 2月26日, 4500元, 存入, 银行, 整存整取, 一年, 年利率, 2.25%, 到期, 捐赠, 希望工程, 利息}
商丘市一中去年入学考试，有(1/5)的学生被录取，被录取考生的平均成绩是135分，没有被录取的考生的平均成绩是105分．考生的平均成绩=多少分．	(135*(1/5)+105*(1-(1/5)))/1=111.0	{商丘市一中, 去年入学考试, (1/5), 学生, 被录取, 平均成绩, 135分, 没有被录取, 105分, 考生的平均成绩}
一辆旅游车在平原和山区各行了3小时，在平原每小时行50千米，在山区每小时行30千米，这段路程有多长？	50*3+30*3=240.0	{旅游车, 平原, 山区, 3小时, 每小时, 50千米, 30千米, 路程}
除数是9，商是3，被除数=？	9*3=27.0	{除数, 9, 商, 3, 被除数}
一些画片，分别分给甲乙丙3个孩子，甲拿走了(1/3)多6张，乙拿走了(2/5)少4经张，丙拿走了18张，这些画片一共有多少张？．	(18-4+6)/(1-(2/5)-(1/3))=75.0	{画片，甲，乙，丙，孩子，(1/3)，多6张，(2/5)，少4张，18张，多少张}
把一根木头锯成4段需要6分钟，如果要锯成13段，需要多少分？	6/(4-1)*(13-1)=24.0	{木头, 锯, 4段, 6分钟, 13段}
一辆自行车轮胎外直径是0.7米，王老师骑车从学校到少年宫．如果车轮每分钟转100转，5分钟可到达少年宫．从学校到少年宫的路程有多少米？	3.14*0.7*100*5=1099.0	{自行车, 轮胎, 外直径, 0.7米, 王老师, 骑车, 学校, 少年宫, 车轮, 每分钟, 转100转, 5分钟, 路程, 米}
学校安排25个小组去植树，每组中有4人植树、2人浇水．一共有多少人参加这次植树活动？	(4+2)*25=150.0	{学校, 安排, 25个, 小组, 植树, 每组, 4人, 植树, 2人, 浇水, 一共,多少人, 参加, 活动?}
一个自动售货机里有足够多的10种颜色的球，小明想买一对同颜色的球，如果球的单价是2元，那么，为了确保小明实现愿望，他至少要花费多少元．	(10+1)*2=22.0	{自动售货机，足够多，10种颜色，球，小明，买，一对，同颜色，球，单价，2元，至少，花费}
池塘里，一根竹竿插入泥中的部分为(3/5)米，比露出水面的部分少(1/2)米，浸没在水中部分为1米．这根竹竿长多少米？	(3/5)+((3/5)+(1/2))+1=2.7	{池塘里，竹竿，插入，泥中，部分，3/5米，比，露出，水面，部分，少，1/2米，浸没，水中，部分，1米，长}
根据“松树有36棵，柳树有85棵”，可以求出多少．	36+85=121.0	{松树，36棵，柳树，85棵}
某粮店有一批大米，计划每天销售0.5吨，24天售完．实际20天就售完了，实际每天多销售多少吨？	24*0.5/20-0.5=0.1	{某粮店, 大米, 计划, 每天, 销售, 0.5吨, 24天, 售完, 实际, 20天, 售完, 实际每天, 多销售, 吨}
